Username,no. of followers (thousands)
 danielfooddiary ,239
 misstamchiak ,154
 ieatishootipost ,136
 sethluicious ,114
 foodkingnoc ,109
 eatbooksg ,75.7
 stormscape ,73.6
 8days_eat ,64.8
 hungrygowhere ,62.7
 burpple ,61.4
 sgfoodonfoot ,54.9
 sheeatsshecooks,53.6
